Month,Mean_Temprature
1936-09-30 00:00:00,26.44
1936-10-31 00:00:00,24.73
1936-11-30 00:00:00,21.72
1936-12-31 00:00:00,19.13
1937-01-31 00:00:00,18.02
1937-02-28 00:00:00,20.21
1937-03-31 00:00:00,22.6
1937-04-30 00:00:00,25.83
1937-05-31 00:00:00,28.4
1937-06-30 00:00:00,28.69
1937-07-31 00:00:00,27.0
1937-08-31 00:00:00,27.18
1937-09-30 00:00:00,26.43
1937-10-31 00:00:00,23.98
1937-11-30 00:00:00,21.34
1937-12-31 00:00:00,18.09
1938-01-31 00:00:00,18.15
1938-02-28 00:00:00,18.77
1938-03-31 00:00:00,23.61
1938-04-30 00:00:00,26.91
1938-05-31 00:00:00,28.97
1938-06-30 00:00:00,27.33
1938-07-31 00:00:00,27.16
1938-08-31 00:00:00,26.83
1938-09-30 00:00:00,26.14
1938-10-31 00:00:00,24.41
1938-11-30 00:00:00,20.62
1938-12-31 00:00:00,18.9
1939-01-31 00:00:00,18.4
1939-02-28 00:00:00,19.79
1939-03-31 00:00:00,21.98
1939-04-30 00:00:00,25.67
1939-05-31 00:00:00,28.63
1939-06-30 00:00:00,28.11
1939-07-31 00:00:00,27.22
1939-08-31 00:00:00,26.92
1939-09-30 00:00:00,26.4
1939-10-31 00:00:00,24.66
1939-11-30 00:00:00,21.32
1939-12-31 00:00:00,19.03
1940-01-31 00:00:00,18.1
1940-02-29 00:00:00,19.88
1940-03-31 00:00:00,22.23
1940-04-30 00:00:00,25.88
1940-05-31 00:00:00,28.38
1940-06-30 00:00:00,28.29
1940-07-31 00:00:00,27.42
1940-08-31 00:00:00,26.44
1940-09-30 00:00:00,26.19
1940-10-31 00:00:00,24.74
1940-11-30 00:00:00,22.03
1940-12-31 00:00:00,18.97
1941-01-31 00:00:00,18.33
1941-02-28 00:00:00,20.28
1941-03-31 00:00:00,24.24
1941-04-30 00:00:00,27.49
1941-05-31 00:00:00,28.89
1941-06-30 00:00:00,28.52
1941-07-31 00:00:00,27.54
1941-08-31 00:00:00,27.43
1941-09-30 00:00:00,26.29
1941-10-31 00:00:00,25.47
1941-11-30 00:00:00,21.76
1941-12-31 00:00:00,19.67
1942-01-31 00:00:00,18.07
1942-02-28 00:00:00,20.06
1942-03-31 00:00:00,23.87
1942-04-30 00:00:00,26.79
1942-05-31 00:00:00,28.82
1942-06-30 00:00:00,28.81
1942-07-31 00:00:00,27.28
1942-08-31 00:00:00,26.62
1942-09-30 00:00:00,26.03
1942-10-31 00:00:00,24.56
1942-11-30 00:00:00,21.85
1942-12-31 00:00:00,18.75
1943-01-31 00:00:00,18.32
1943-02-28 00:00:00,19.47
1943-03-31 00:00:00,23.31
1943-04-30 00:00:00,25.56
1943-05-31 00:00:00,27.82
1943-06-30 00:00:00,27.8
1943-07-31 00:00:00,27.16
1943-08-31 00:00:00,26.66
1943-09-30 00:00:00,26.26
1943-10-31 00:00:00,24.2
1943-11-30 00:00:00,21.81
1943-12-31 00:00:00,19.02
1944-01-31 00:00:00,18.0
1944-02-29 00:00:00,19.07
1944-03-31 00:00:00,22.54
1944-04-30 00:00:00,25.63
1944-05-31 00:00:00,28.93
1944-06-30 00:00:00,28.39
1944-07-31 00:00:00,27.42
1944-08-31 00:00:00,27.11
1944-09-30 00:00:00,26.08
1944-10-31 00:00:00,24.49
1944-11-30 00:00:00,21.51
1944-12-31 00:00:00,19.32
1945-01-31 00:00:00,17.33
1945-02-28 00:00:00,19.37
1945-03-31 00:00:00,23.28
1945-04-30 00:00:00,25.52
1945-05-31 00:00:00,28.31
1945-06-30 00:00:00,28.81
1945-07-31 00:00:00,27.39
1945-08-31 00:00:00,26.98
1945-09-30 00:00:00,26.51
1945-10-31 00:00:00,24.36
1945-11-30 00:00:00,21.15
1945-12-31 00:00:00,17.98
1946-01-31 00:00:00,18.31
1946-02-28 00:00:00,20.73
1946-03-31 00:00:00,23.02
1946-04-30 00:00:00,26.86
1946-05-31 00:00:00,28.48
1946-06-30 00:00:00,28.14
1946-07-31 00:00:00,27.47
1946-08-31 00:00:00,27.04
1946-09-30 00:00:00,26.31
1946-10-31 00:00:00,24.98
1946-11-30 00:00:00,21.6
1946-12-31 00:00:00,20.08
1947-01-31 00:00:00,17.72
1947-02-28 00:00:00,19.84
1947-03-31 00:00:00,23.55
1947-04-30 00:00:00,26.88
1947-05-31 00:00:00,28.82
1947-06-30 00:00:00,28.82
1947-07-31 00:00:00,27.41
1947-08-31 00:00:00,27.46
1947-09-30 00:00:00,26.28
1947-10-31 00:00:00,24.67
1947-11-30 00:00:00,21.78
1947-12-31 00:00:00,19.07
1948-01-31 00:00:00,18.25
1948-02-29 00:00:00,19.36
1948-03-31 00:00:00,22.72
1948-04-30 00:00:00,26.68
1948-05-31 00:00:00,28.71
1948-06-30 00:00:00,28.16
1948-07-31 00:00:00,27.15
1948-08-31 00:00:00,26.72
1948-09-30 00:00:00,26.28
1948-10-31 00:00:00,24.84
1948-11-30 00:00:00,21.58
1948-12-31 00:00:00,18.79
1949-01-31 00:00:00,19.01
1949-02-28 00:00:00,19.36
1949-03-31 00:00:00,23.37
1949-04-30 00:00:00,26.71
1949-05-31 00:00:00,28.35
1949-06-30 00:00:00,27.86
1949-07-31 00:00:00,27.24
1949-08-31 00:00:00,26.83
1949-09-30 00:00:00,26.41
1949-10-31 00:00:00,24.7
1949-11-30 00:00:00,20.79
1949-12-31 00:00:00,18.4
1950-01-31 00:00:00,18.36
1950-02-28 00:00:00,19.05
1950-03-31 00:00:00,22.45
1950-04-30 00:00:00,25.72
1950-05-31 00:00:00,28.34
1950-06-30 00:00:00,28.21
1950-07-31 00:00:00,27.03
1950-08-31 00:00:00,26.63
1950-09-30 00:00:00,25.6
1950-10-31 00:00:00,24.07
1950-11-30 00:00:00,21.03
1950-12-31 00:00:00,18.33
1951-01-31 00:00:00,19.09
1951-02-28 00:00:00,19.36
1951-03-31 00:00:00,23.13
1951-04-30 00:00:00,25.19
1951-05-31 00:00:00,28.07
1951-06-30 00:00:00,27.74
1951-07-31 00:00:00,27.2
1951-08-31 00:00:00,27.09
1951-09-30 00:00:00,26.72
1951-10-31 00:00:00,25.73
1951-11-30 00:00:00,22.34
1951-12-31 00:00:00,19.3
1952-01-31 00:00:00,18.67
1952-02-29 00:00:00,21.05
1952-03-31 00:00:00,22.73
1952-04-30 00:00:00,26.96
1952-05-31 00:00:00,28.41
1952-06-30 00:00:00,28.36
1952-07-31 00:00:00,27.37
1952-08-31 00:00:00,26.79
1952-09-30 00:00:00,26.48
1952-10-31 00:00:00,24.72
1952-11-30 00:00:00,21.41
1952-12-31 00:00:00,19.18
1953-01-31 00:00:00,18.11
1953-02-28 00:00:00,20.86
1953-03-31 00:00:00,24.9
1953-04-30 00:00:00,26.8
1953-05-31 00:00:00,28.99
1953-06-30 00:00:00,28.79
1953-07-31 00:00:00,27.35
1953-08-31 00:00:00,26.91
1953-09-30 00:00:00,26.24
1953-10-31 00:00:00,24.67
1953-11-30 00:00:00,21.49
1953-12-31 00:00:00,19.85
1954-01-31 00:00:00,17.77
1954-02-28 00:00:00,20.45
1954-03-31 00:00:00,23.66
1954-04-30 00:00:00,26.99
1954-05-31 00:00:00,28.84
1954-06-30 00:00:00,28.28
1954-07-31 00:00:00,27.03
1954-08-31 00:00:00,26.86
1954-09-30 00:00:00,26.19
1954-10-31 00:00:00,23.52
1954-11-30 00:00:00,20.99
1954-12-31 00:00:00,18.94
1955-01-31 00:00:00,18.42
1955-02-28 00:00:00,20.5
1955-03-31 00:00:00,23.93
1955-04-30 00:00:00,25.5
1955-05-31 00:00:00,27.31
1955-06-30 00:00:00,28.01
1955-07-31 00:00:00,27.07
1955-08-31 00:00:00,26.63
